t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
5.76 -1.434477 0 -0.96373689 1.1038133 -2.3413084 1.0471169 -2.3598888 1.0777904 1.2043673 1.3889658 1.4242996 1.3963945 0.97577183
5.8 -1.429481 0 -0.80742449 1.0261801 -2.3031614 1.092621 -2.3165561 1.1269874 1.2043673 1.4026976 1.4379964 1.5124956 0.98469456
5.84 -1.4228968 0 -0.67128498 0.93545692 -2.2622799 1.1352075 -2.2701328 1.1721658 1.2043673 1.4155127 1.4501199 1.6162775 0.99096026
5.88 -1.4147318 0 -0.55608991 0.83829241 -2.2188117 1.1747437 -2.2210888 1.2130192 1.2043673 1.4272271 1.4604605 1.7066508 0.99464758
5.92 -1.4049949 0 -0.46067353 0.74044384 -2.1728477 1.2111541 -2.1698401 1.2493842 1.2043673 1.4376704 1.468854 1.7833387 0.99587602
5.96 -1.3936972 0 -0.38262158 0.64631741 -2.1244308 1.2444049 -2.1167176 1.2812233 1.2043673 1.4466906 1.4751784 1.8466823 0.99471623
6 -1.380851 0 -0.3189379 0.55887446 -2.0735715 1.274488 -2.0619533 1.3086003 1.2043673 1.4541577 1.4793505 1.8974328 0.99116685
6.04 -1.3664706 0 -0.26655941 0.47978674 -2.0202638 1.3014079 -2.0056828 1.3316538 1.2043673 1.4599645 1.4813235 1.9365714 0.98519302
6.08 -1.3505721 0 -0.22268208 0.40971213 -1.9644987 1.3251718 -1.947961 1.3505707 1.2043673 1.4640251 1.4810854 1.9651734 0.97679045
6.12 -1.3331731 0 -0.18492076 0.34859213 -1.9062714 1.3457832 -1.8887847 1.3655639 1.2043673 1.4662718 1.4786566 1.9843167 0.96603494
6.16 -1.314293 0 -0.15135064 0.29591402 -1.8455858 1.3632393 -1.8281156 1.3768556 1.2043673 1.466652 1.474087 1.9950259 0.95309623
6.2 -1.2939526 0 -0.12047845 0.25091496 -1.7824545 1.3775301 -1.7658984 1.3846643 1.2043673 1.4651261 1.4674511 1.9982415 0.93821897
6.24 -1.2721747 0 -0.091180468 0.21272662 -1.7168986 1.3886395 -1.7020728 1.3891971 1.2043673 1.4616658 1.4588425 1.9948057 0.92168682
6.28 -1.2489834 0 -0.06263152 0.18046963 -1.6489464 1.3965462 -1.6365787 1.3906439 1.2043673 1.4562543 1.448368 1.9854565 0.90378607
6.32 -1.2244044 0 -0.034238 0.15330991 -1.5786322 1.4012249 -1.5693576 1.3891736 1.2043673 1.448886 1.4361418 1.9708284 0.88477897
6.36 -1.1984651 0 -0.0055808855 0.13048835 -1.5059949 1.4026473 -1.500351 1.3849313 1.2043673 1.4395673 1.4222807 1.9514556 0.8648894
6.4 -1.1711943 0 0.023629913 0.11133303 -1.431078 1.4007829 -1.4294989 1.3780364 1.2043673 1.4283174 1.4069011 1.9277782 0.84429913
